N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
933;Directeur;"Administration ; Commerce ; Industrie";Stratégie;Directeur;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;Le directeur du domaine nan dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;N;T;J;;V;;V;V;;;V;;E1129;;
934;Directeur général;"Commerce ; Industrie ; Administration";Stratégie;Directeur;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;Le directeur du domaine nan dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;N;T;J;;V;;V;V;;;V;;K1422;;
935;Directeur régional;"Administration ; Commerce";Stratégie;Directeur;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;Le directeur du domaine nan dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;N;T;J;;V;;V;V;;;V;;K1410;;
936;Dirigeant;Informatique - numérique - digital;Stratégie;Opérationnel;Bac+2 à Bac+5 (informatique, numérique);2 500€ → 6 000€/mois;Le dirigeant de startup tech définit la vision stratégique de son entreprise numérique, lève des fonds, recrute les talents clés et pilote la croissance. Il combine compétences entrepreneuriales et culture technologique pour transformer une innovation en produit viable sur le marché.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;V;;;V;;V;V;M1301;;
937;DJ;"Musique ; Cinéma - audiovisuel ; Spectacle - divertissement";Conception artistique;Entrepreneur - Profession libérale;Aucun diplôme requis — formation autodidacte + résidences + networking;1 800€ → 6 000€/mois;Le DJ (disc-jockey) sélectionne et mixe des morceaux musicaux pour animer des soirées, clubs, festivals ou émissions radio. Il utilise des platines, des contrôleurs et des logiciels pour enchaîner les titres de façon fluide, créer des ambiances et faire danser le public.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;F;P;;V;V;;;V;;V;;L1101;;
938;Eclairagiste;Cinéma - audiovisuel;Ingénierie et conception technique;Opérationnel;BTS Électrotechnique + formation éclairage de spectacle (CFPTS, ISTS);1 800€ → 6 000€/mois;L'éclairagiste installe et règle les équipements d'éclairage sur les plateaux de cinéma, de théâtre ou de concert. Il traduit les intentions du chef opérateur ou du metteur en scène en créant les ambiances lumineuses requises et assure la maintenance du parc d'éclairage.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;F;P;;V;V;;;V;;V;;L1504;;
939;Eclusier-barragiste;Transport - logistique - approvisionnement;Transport;Opérationnel;Formation spécialisée éclusier + concours Voies navigables de France (VNF);1 700€ → 4 500€/mois;L'éclusier-barragiste exploite et entretient les écluses et les barrages sur les voies navigables. Il manœuvre les portes d'écluse, régule les niveaux d'eau, guide les bateaux dans les sas et assure la maintenance des équipements hydrauliques.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;V;N1109;;
940;Econome en hôtellerie-restauration;"Hôtellerie - restauration - gastronomie ; Voyages - tourisme";Gestion de projet;Opérationnel;BTS Hôtellerie-restauration ou Licence pro Gestion hôtelière;1 600€ → 3 500€/mois;L'économe en hôtellerie-restauration gère les approvisionnements et les stocks d'une cuisine professionnelle. Il négocie avec les fournisseurs, passe les commandes, contrôle les livraisons, gère les inventaires et veille à la maîtrise des coûts alimentaires.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1407;;
941;Economiste de la construction;Bâtiment - construction;Étude et expertise;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;L'économiste de la construction estime et contrôle les coûts des projets de bâtiment et de travaux publics. Il réalise des métrés, établit les budgets prévisionnels, rédige les dossiers de consultation des entreprises et compare les offres pour garantir l'enveloppe financière du projet.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1120;;
942;Ecoutant social;Social;Relation sociale;Opérationnel;Bac+3 (diplôme d'État travail social);1 800€ → 3 000€/mois;L'écoutant social reçoit et accompagne les personnes en détresse via des lignes téléphoniques d'écoute ou des dispositifs d'accueil. Il offre un espace d'expression bienveillant, oriente vers les services compétents et peut rédiger des signalements en cas de situations préoccupantes.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;P;V;V;;V;;;;;V;K1221;;
944;Editeur;"Édition et métier du livre - littérature ; Communication";Étude et expertise;Opérationnel;Bac+3 à Bac+5 (communication, journalisme);2 000€ → 5 000€/mois;L'éditeur sélectionne les manuscrits à publier, travaille avec les auteurs sur les textes, coordonne la fabrication des livres et pilote leur commercialisation. Il définit la ligne éditoriale de son catalogue, gère les droits et noue des relations avec les libraires et les médias.;ONISEP;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;P;;V;V;;;;;V;V;E1105;;
946;Educateur sportif;"Sport ; Voyages - tourisme";Formation - coaching;Opérationnel;BPJEPS (Brevet Professionnel Jeunesse Éducation Populaire et Sport) ou DEJEPS;1 600€ → 3 500€/mois;L'éducateur sportif enseigne la pratique d'un ou plusieurs sports à des publics variés (enfants, adultes, personnes en situation de handicap). Il anime des séances d'entraînement, initie les débutants, prépare les sportifs aux compétitions et veille à la sécurité des pratiquants.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;;V;;;;;;V;V;G1204;;
947;Egoutier;"Bâtiment - construction ; Médical - santé - Pharmaceutique";Installation et/ou maintenance;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'égoutier entretient et répare les réseaux d'assainissement souterrains. Il inspecte les canalisations, dégage les obstructions, effectue des travaux de réhabilitation dans les égouts et veille au bon fonctionnement des systèmes d'évacuation des eaux usées et pluviales.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2321;V;
948;Elagueur;Agriculture;Production et fabrication;Opérationnel;CAP Arboriste-élagueur à Bac Pro;1 700€ → 2 800€/mois;L'élagueur taille et soigne les arbres en hauteur pour des raisons de sécurité, d'esthétique ou de santé des végétaux. Il utilise des techniques de grimpe et des équipements spécialisés pour intervenir sur les branches malades, dangereuses ou encombrantes.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1209;;
949;Electricien;"Énergie ; Électronique ; Bâtiment - construction";Installation et/ou maintenance;Opérationnel;CAP Électricien ou Bac Pro Électrotechnique, énergie, équipements communicants;1 600€ → 3 500€/mois;L'électricien installe les câblages et équipements électriques dans les bâtiments résidentiels, tertiaires ou industriels. Il lit les schémas électriques, pose les conduits, câble les tableaux électriques, raccorde les prises et luminaires et effectue les mises en service en respectant les normes NFC 15-100.;ONISEP;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;I1309;;
950;Electromécanicien;"Industrie ; Électronique";Installation et/ou maintenance;Opérationnel;CAP Électromécanique ou Bac Pro Maintenance des équipements industriels;1 600€ → 3 500€/mois;L'électromécanicien assure l'installation, le réglage et la maintenance des machines combinant des composants électriques et mécaniques. Il diagnostique les pannes sur les moteurs, les variateurs et les automatismes, et intervient rapidement pour rétablir la continuité de production.;ONISEP;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;I1335;;
951;Electronicien;Électronique;Ingénierie et conception technique;Opérationnel;BTS Systèmes numériques ou DUT GEII (Génie électrique et informatique industrielle);1 600€ → 3 500€/mois;L'électronicien conçoit, monte et répare des circuits et équipements électroniques. Il lit les schémas électriques, soude les composants, utilise des oscilloscopes et des multimètres pour diagnostiquer les pannes et remet en état les cartes et appareils défectueux.;ONISEP;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;I1334;;
952;Eleveur;Agriculture;Production et fabrication;Opérationnel;BPREA Productions animales à Bac+5;1 500€ → 3 000€/mois;L'éleveur assure la conduite d'un troupeau d'animaux d'élevage (bovins, ovins, porcins, caprins...). Il gère l'alimentation, la reproduction, la santé animale, les soins quotidiens et la commercialisation des animaux ou de leurs productions (lait, laine, viande).;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1435;;
953;Employé;Commerce;Commercial;Opérationnel;"Bac ou Bac Pro Commerce ; CAP Employé de commerce multi-spécialités";1 900€ → 6 000€/mois;L'employé commercial en magasin assure la mise en rayon des produits, le balisage des prix, le réapprovisionnement des rayons et l'accueil des clients. Il veille à la bonne présentation des produits et oriente les clients vers les articles recherchés.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;V;;;;V;V;D1205;;
954;Endocrinologue;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Doctorat (chimie, biochimie);2 200€ → 5 000€/mois;L'endocrinologue est un médecin spécialisé dans les maladies hormonales et métaboliques. Il prend en charge le diabète, les pathologies thyroïdiennes, l'obésité, les troubles de la croissance et les maladies des glandes surrénales.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;V;;;V;;V;V;J1125;;
955;Enquêteur privé;"Armée - sécurité - défense ; Médical - santé - Pharmaceutique";Sécurité;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'enquêteur privé mène des investigations pour le compte de particuliers ou d'entreprises : recherche de personnes disparues, vérification de fidélité, fraudes, concurrence déloyale. Il collecte des preuves légalement, rédige des rapports détaillés et peut témoigner en justice.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2505;;
956;Enseignant;Enseignement;Formation - coaching;Opérationnel;Bac+5 (Master MEEF + concours);2 000€ → 3 600€/mois;Le professeur transmet des connaissances et développe les compétences de ses élèves. Il prépare ses cours, évalue et contribue à l'épanouissement des élèves.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;;V;V;V;;;;V;;K2110;;
957;Equipier polyvalent;"Hôtellerie - restauration - gastronomie ; Voyages - tourisme";Accueil et service client;Opérationnel;Aucun diplôme requis — formation interne à l'enseigne;1 600€ → 3 500€/mois;L'équipier polyvalent de restauration rapide assure plusieurs fonctions : prise de commande, préparation des produits, service en salle et entretien des locaux. Il travaille en équipe dans un rythme soutenu pour garantir la rapidité et la qualité du service aux clients.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1603;;
958;Ergothérapeute;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 (Diplôme d'État ergothérapie);1 900€ → 3 000€/mois;L'ergothérapeute aide les personnes handicapées à retrouver leur autonomie dans les activités de la vie quotidienne, en adaptant leur environnement.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;V;;;V;;V;;V;;J1403;;
959;Esthéticien;"Esthétique ; Commerce";Soins esthétiques et beauté;Opérationnel;CAP Esthétique-cosmétique-parfumerie ou BP Esthétique;1 900€ → 6 000€/mois;L'esthéticien réalise des soins du visage et du corps (épilation, manucure, modelages) dans un institut de beauté ou un spa. Il conseille les clients sur les soins et les produits adaptés à leur type de peau et contribue à leur bien-être et à leur confiance en eux.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;V;;;;V;V;D1208;;
960;Etalagiste;Art;Conception graphique et esthétique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;;V;V;;;V;;V;;B1301;;
961;Etancheur;Bâtiment - construction;Production et fabrication;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;L'étancheur pose des revêtements imperméabilisants sur les toitures-terrasses, les fondations et les ouvrages d'art pour les protéger contre les infiltrations d'eau. Il applique des membranes bitumineuses, des résines ou des géomembranes en respectant les normes d'étanchéité.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1613;;
962;Ethnologue;"Chimie - biologie - science ; Culture";Scientifique;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;L'ethnologue étudie les cultures humaines dans leur diversité en s'immergeant dans les sociétés qu'il étudie. Il mène des enquêtes de terrain approfondies, documente les pratiques sociales, les rites et les croyances, et publie ses analyses pour contribuer à la compréhension des civilisations.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2135;;
963;Expert;Industrie;Étude et expertise;Opérationnel;Bac+5 dans la spécialité concernée (ingénieur, juriste technique, auditeur);1 600€ → 3 500€/mois;L'expert en industrie apporte une expertise technique pointue dans un domaine spécialisé (matériaux, procédés, qualité, sécurité). Il analyse des situations complexes, émet des préconisations, rédige des rapports d'expertise et peut intervenir comme consultant ou comme témoin technique.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;H1516;;
964;Exploitant;Agriculture;Production et fabrication;Opérationnel;BPREA à Bac Pro agricole;1 500€ → 3 500€/mois;L'exploitant agricole dirige une exploitation de production végétale ou animale. Il prend les décisions stratégiques et techniques de la ferme, gère les ressources humaines et financières, et assure la commercialisation de ses produits.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1416;;
965;Extracteur;Bâtiment - construction;Production et fabrication;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;L'extracteur travaille dans des carrières ou des mines à ciel ouvert pour extraire des matériaux (pierre, calcaire, granit, sable). Il utilise des engins de forage, des explosifs contrôlés ou des machines de découpe pour détacher et charger les blocs de roche.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1402;;
966;Façonnier;Industrie;Production et fabrication;Opérationnel;CAP ou Bac Pro dans la filière concernée (textile, imprimerie, plasturgie);1 600€ → 3 500€/mois;Le façonnier réalise des opérations de finition ou de transformation sur des produits semi-finis selon les commandes des donneurs d'ordre. Selon son secteur (imprimerie, textile, plasturgie), il découpe, plie, assemble ou conditionne les articles en respectant les spécifications.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;H2208;;
967;Facteur;"Administration ; Transport - logistique - approvisionnement";Accueil et service client;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;;V;V;;;V;;V;;B1504;;
968;Foreur;Bâtiment - construction;Production et fabrication;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le foreur réalise des forages dans le sol pour différentes applications : prélèvements géotechniques, installation de pieux, sondages géologiques, captage d'eau ou géothermie. Il conduit des foreuses et adapte ses techniques selon la nature du terrain et la profondeur visée.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1401;;
969;Formateur coiffeur;"Esthétique ; Commerce";Formation - coaching;Opérationnel;BP Coiffure + certification formateur + expérience professionnelle;1 900€ → 6 000€/mois;Le formateur coiffeur enseigne les techniques de coiffure dans un centre de formation ou une école professionnelle. Il transmet les savoir-faire (coupes, colorations, permanentes), forme aux normes d'hygiène, prépare les élèves aux examens du CAP ou du BP coiffure.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;;V;V;V;;;;V;;D1218;;
970;Fourreur;"Art ; Artisanat ; Mode - textile";Conception artistique;Opérationnel;Formation artistique variable (Beaux-Arts, école spécialisée);1 200€ → 5 000€/mois (variable);Cet artiste ou professionnel de la création développe son expression artistique dans un domaine visuel, performatif ou artisanal.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;;V;V;;;V;;V;;B1810;;
971;Fromager-affineur;Agriculture;Cuisine et gastronomie;Opérationnel;CAP Crémier-fromager à BTS Industries Laitières;1 700€ → 3 000€/mois;Le fromager-affineur transforme le lait en fromage et supervise leur maturation en cave. Il maîtrise les techniques de fabrication (caillage, moulage, salage) et assure le suivi de l'affinage pour développer les arômes et textures caractéristiques de chaque fromage.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1412;;
972;Gainier industriel;Industrie;Production et fabrication;Opérationnel;CAP Gainier ou formation spécialisée en techniques de gaine et ventilation industrielle;1 600€ → 3 500€/mois;Le gainier industriel fabrique et pose des gaines et des conduits pour les réseaux de ventilation, de climatisation ou de transport de fluides dans les bâtiments industriels et tertiaires. Il travaille la tôle, assemble les éléments et veille à l'étanchéité des installations.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;H2416;;
973;Garde de parc naturel;Agriculture;Sécurité;Opérationnel;Concours de technicien de l'environnement + Bac+2;1 800€ → 2 800€/mois;Le garde de parc naturel surveille et protège un espace naturel protégé (parc national, réserve naturelle). Il contrôle les activités humaines, sensibilise les visiteurs, réalise des inventaires de faune et de flore et contribue à la gestion écologique du territoire.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;;A1204;V;
974;Gardien;"Armée - sécurité - défense ; Administration ; Médical - santé - Pharmaceutique";Sécurité;Opérationnel;Bac+3 à Bac+6 selon le métier (paramédical/médical);2 000€ → 5 000€/mois;Le gardien surveille et sécurise un site (bâtiment, parking, événement). Il contrôle les accès, effectue des rondes de surveillance, prévient les intrusions et les actes de malveillance, et alerte les forces de l'ordre ou les secours en cas d'incident.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;V;V;;;;V;;V;;K2501;;
975;Gastro-entérologue;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Doctorat (chimie, biochimie);2 200€ → 5 000€/mois;Le gastro-entérologue est un médecin spécialiste du système digestif. Il diagnostique et traite les maladies de l'œsophage, de l'estomac, de l'intestin, du foie et du pancréas. Il réalise des endoscopies digestives (coloscopie, fibroscopie) pour explorer et traiter les pathologies.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;V;;;V;;V;V;J1121;;
976;Géologue;"Environnement ; Bâtiment - construction";Scientifique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le géologue étudie la structure, la composition et l'histoire de la Terre. Il effectue des relevés de terrain, analyse des roches et des sédiments, cartographie les formations géologiques et intervient dans des domaines variés : exploitation minière, géotechnique, hydrogéologie ou gestion des risques naturels.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1105;;
977;Géomètre du cadastre;Bâtiment - construction;Ingénierie et conception technique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le géomètre du cadastre mesure et délimite les propriétés foncières pour établir et mettre à jour le cadastre. Il réalise des bornages, traite les données topographiques, résout les litiges de bornage et fournit les documents officiels reconnus par les notaires et tribunaux.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1131;;
978;Géomètre-topographe;Bâtiment - construction;Ingénierie et conception technique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le géomètre-topographe mesure le terrain pour établir des plans précis utilisés en aménagement, construction et urbanisme. Il utilise des instruments de mesure (GPS, théodolites, drones) pour relever les altimétries, les coordonnées et produire des plans et des modèles numériques.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1107;;
979;Géophysicien;"Environnement ; Bâtiment - construction";Scientifique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le géophysicien mesure et interprète les propriétés physiques de la Terre (magnétisme, gravité, sismicité) pour en comprendre la structure interne. Il réalise des prospections géophysiques pour localiser des ressources naturelles, évaluer les risques sismiques ou guider des travaux de construction.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1143;V;
980;Géotechnicien;Bâtiment - construction;Scientifique;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le géotechnicien étudie les caractéristiques mécaniques et hydrologiques des sols pour évaluer leur capacité portante. Il réalise des sondages, des essais en laboratoire et des rapports géotechniques qui guident les choix des fondations et préviennent les risques d'instabilité.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;;V;V;F1128;V;
981;Géothermicien;"Énergie ; Bâtiment - construction";Scientifique;Opérationnel;CAP à Bac+5 (BTP, génie civil);1 700€ → 5 500€/mois;Le géothermicien conçoit et installe des systèmes de géothermie utilisant la chaleur du sous-sol pour chauffer ou climatiser des bâtiments. Il réalise des études de faisabilité, supervise les forages, dimensionne les pompes à chaleur géothermiques et assure le suivi des installations.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;V;;;V;V;V;;F1138;V;
982;Gérant de restaurant;"Hôtellerie - restauration - gastronomie ; Voyages - tourisme";Stratégie;Directeur;BTS Hôtellerie-restauration ou école hôtelière + expérience restauration;1 600€ → 3 500€/mois;Le gérant de restaurant dirige l'ensemble de l'activité de son établissement. Il manage l'équipe en salle et en cuisine, gère les approvisionnements et les coûts, accueille les clients, élabore la carte et veille à la rentabilité et à la réputation de son restaurant.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;;;;V;V;G1805;;
983;Gériatre;Médical - santé - Pharmaceutique;Médical;Opérationnel;Bac+3 à Doctorat (chimie, biochimie);2 200€ → 5 000€/mois;Le gériatre est un médecin spécialisé dans la prise en charge des personnes âgées. Il diagnostique et traite les maladies liées au vieillissement (démences, chutes, polypathologies), coordonne les soins et accompagne les patients et leurs familles dans les décisions médicales.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;V;;;V;;V;V;J1116;;
984;Gestionnaire de copropriété;"Immobilier ; Commerce";Administratif;Opérationnel;BTS Professions immobilières ou Licence pro Gestion immobilière + carte pro T;1 900€ → 6 000€/mois;Le gestionnaire de copropriété administre les parties communes d'un immeuble en copropriété pour le compte du syndicat des copropriétaires. Il organise et anime les assemblées générales, fait exécuter les décisions, gère les prestataires d'entretien et suit le budget de la copropriété.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;;V;;;V;;;V;V;C1501;;
