Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Enquêteur privé;"Droit - justice ; Commerce";Renseignement;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'enquêteur privé mène des investigations pour le compte de particuliers ou d'entreprises. Il recueille des preuves légales, effectue des filatures et rédige des rapports d'enquête circonstanciés.;Bac+2 + agrément CNAPS;2 000€ → 4 500€/mois;Oui;Oui;;;;Oui;;Oui;;K2505;Emploi Blanc;
Enseignant;Médical - santé - Pharmaceutique;Formation - coaching;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;Le professeur transmet des connaissances et développe les compétences de ses élèves. Il prépare ses cours, évalue et contribue à l'épanouissement des élèves.;Bac+5 (Master MEEF + concours);2 000€ → 3 600€/mois;;Oui;Oui;Oui;;;;Oui;;K2110;Emploi Blanc;
Equipier polyvalent;"Hôtellerie - restauration - gastronomie ; Commerce";Accueil - service - suivi client;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;L'équipier polyvalent assure plusieurs fonctions en restauration rapide : accueil, prise de commande, préparation des produits, encaissement et entretien des locaux.;Pas de diplôme requis + formation interne;1 600€ → 2 000€/mois;;Oui;;;;;;Oui;Oui;G1603;Emploi Blanc;
Ergothérapeute;Chimie - biologie - science;Médical;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;L'ergothérapeute aide les personnes handicapées à retrouver leur autonomie dans les activités de la vie quotidienne, en adaptant leur environnement.;Bac+3 (Diplôme d'État ergothérapie);1 900€ → 3 000€/mois;Oui;;;Oui;;Oui;;Oui;;J1403;Emploi Blanc;
Esthéticien;"Esthétique ; Commerce";Services à la personne;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;L'esthéticien réalise des soins de beauté : soins du visage, épilation, manucure, maquillage. Il conseille les clients sur les produits adaptés à leur type de peau et leur prodigues des soins personnalisés.;CAP Esthétique-cosmétique à BTS Esthétique;1 600€ → 2 800€/mois;;Oui;;Oui;;;;Oui;Oui;D1208;Emploi Blanc;
Etalagiste;"Commerce ; Art ; Grande distribution ; Mode - textile";Marketing;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;L'étalagiste crée et réalise les vitrines et présentations de produits dans les commerces. Il allie sens artistique et marketing pour attirer les clients et valoriser les marchandises.;CAP Étalagiste à BTS Management des unités commerciales;1 700€ → 3 000€/mois;;Oui;Oui;;;Oui;;Oui;;B1301;Emploi Blanc;
Etancheur;Bâtiment - construction;Technique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'étancheur pose des revêtements imperméables sur les toitures-terrasses, sous-sols et ouvrages hydrauliques. Il utilise des membranes bitumineuses, résines ou films pour prévenir les infiltrations.;CAP Étancheur à Bac Pro TFB;1 800€ → 3 000€/mois;;;Oui;;;Oui;Oui;Oui;;F1613;Emploi stratégique pour la Transition écologique;
Ethnologue;"Chimie - biologie - science ; Enseignement ; Culture";Recherche et développement;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'ethnologue étudie les cultures et sociétés humaines sur le terrain. Il observe les pratiques, collecte des données et produit des analyses sur les modes de vie et croyances des groupes étudiés.;Bac+5 à Doctorat (ethnologie, anthropologie);2 500€ → 4 500€/mois;Oui;Oui;;;;Oui;;Oui;;K2135;Emploi Blanc;
Expert;"Industrie ; Banque - finance ; Assurance ; Droit - justice";Étude et expertise;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'expert évalue et donne son avis technique sur des questions spécialisées. Il intervient pour des assureurs, des tribunaux ou des entreprises pour évaluer les dommages, valeurs ou risques.;Bac+5 + certification d'expert selon domaine;3 500€ → 8 000€/mois;;;Oui;;;Oui;Oui;Oui;;H1516;Emploi Blanc;
Exploitant;Agriculture;Production;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'exploitant agricole dirige une ferme. Il planifie les cultures ou l'élevage, gère les équipements, assure la commercialisation et veille à la rentabilité de son exploitation.;Bac Pro CGEA à Bac+5 ingénieur agronome;1 500€ → 4 000€/mois;;;;;;Oui;Oui;Oui;;A1416;Emploi stratégique pour la Transition écologique;
Extracteur;"Bâtiment - construction ; Industrie ; Énergie";Production;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'extracteur conduit des engins pour exploiter des carrières ou mines à ciel ouvert. Il réalise les opérations de forage, tir à l'explosif et chargement des matériaux extraits.;CAP Conducteur d'engins à Bac Pro;1 800€ → 3 000€/mois;;;Oui;;;Oui;Oui;Oui;;F1402;Emploi Brun;
Façonnier;"Industrie ; Mode - textile ; Agroalimentaire";Production;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le façonnier fabrique des produits finis ou semi-finis pour le compte de donneurs d'ordres. Qu'il soit en textile, imprimerie ou agroalimentaire, il exécute les opérations de transformation selon les spécifications.;CAP à Bac Pro selon spécialité;1 700€ → 2 600€/mois;;;Oui;;;Oui;Oui;Oui;;H2208;Emploi stratégique pour la Transition écologique;
Foreur;"Bâtiment - construction ; Énergie ; Environnement";Technique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le foreur réalise des forages dans le sol pour des projets de construction (fondations), d'exploration pétrolière ou géothermique. Il pilote les foreuses et gère les boues de forage.;CAP à Bac Pro Techniques d'extraction;1 900€ → 3 200€/mois;;;Oui;;;Oui;Oui;Oui;;F1401;Emploi Brun;
Formateur coiffeur;"Enseignement ; Esthétique ; Commerce";Formation - coaching;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;N;F;J;Le formateur coiffeur enseigne les techniques de coiffure dans des centres de formation ou des écoles professionnelles. Il transmet son expertise en coupe, coloration et soins capillaires.;BP Coiffure + qualification formateur;2 000€ → 3 500€/mois;;Oui;Oui;Oui;;;;Oui;;D1218;Emploi Blanc;
Fourreur;"Mode - textile ; Artisanat ; Luxe";Artisanat;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;I;N;F;P;Le fourreur confectionne et retouche les vêtements et accessoires en fourrure naturelle ou synthétique. Il maîtrise la coupe, l'assemblage et la pose de fourrure sur des créations de mode.;CAP Fourreur à BP Maroquinerie-fourrure;1 700€ → 3 000€/mois;;Oui;Oui;;;Oui;;Oui;;B1810;Emploi Brun;
Fromager-affineur;"Agroalimentaire ; Vin ; Artisanat";Production;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le fromager-affineur sélectionne, soigne et fait mûrir les fromages dans ses caves. Il maîtrise les techniques d'affinage pour développer les saveurs et textures optimales.;CAP Fromager-affineur à Bac Pro;1 700€ → 3 000€/mois;;;;;;Oui;Oui;Oui;;A1412;Emploi Blanc;
Gainier industriel;"Industrie ; Mode - textile";Production;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le gainier industriel habille des objets de cuir, tissu ou matières synthétiques : étuis, coffrets, boîtes. Il travaille principalement pour les industries du luxe, de la maroquinerie et de la bijouterie.;CAP Gainerie à BMA Arts du cuir;1 700€ → 2 800€/mois;;;Oui;;;Oui;Oui;Oui;;H2416;Emploi Blanc;
Garde de parc naturel;"Environnement ; Agriculture";Sécurité;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le garde de parc naturel surveille et protège les espaces naturels classés. Il sensibilise les visiteurs à l'environnement, fait respecter la réglementation et participe au suivi scientifique.;Concours garde moniteur + formation ONF/parcs;1 900€ → 2 800€/mois;;;;;;Oui;Oui;Oui;;A1204;Emploi Vert;
Gardien;Médical - santé - Pharmaceutique;Sécurité;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le gardien de cimetière assure la surveillance et l'entretien du site funéraire. Il accueille les familles, gère les concessions et coordonne les inhumations.;Pas de diplôme requis + formation terrain;1 600€ → 2 200€/mois;Oui;Oui;;;;Oui;;Oui;;K2501;Emploi Blanc;
Gastro-entérologue;Médical - santé - Pharmaceutique;Médical;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;Le gastro-entérologue diagnostique et traite les pathologies digestives (colon, foie, estomac). Il réalise des endoscopies et colonscopies.;Doctorat médecine + internat gastro-entérologie (Bac+11);6 000€ → 12 000€/mois;;;Oui;;;Oui;;Oui;Oui;J1121;Emploi Blanc;
Géologue;"Chimie - biologie - science ; Bâtiment - construction ; Énergie";Recherche et développement;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le géologue étudie la composition et la structure de la Terre. Il analyse les roches, sols et sous-sols pour des applications en mines, bâtiment, géotechnique ou recherche fondamentale.;Bac+5 à Doctorat (géologie, sciences de la Terre);3 000€ → 5 500€/mois;;;Oui;;;Oui;Oui;Oui;;F1105;Emploi stratégique pour la Transition écologique;
Géomètre du cadastre;"Bâtiment - construction ; Administration ; Fonction publique";Conception technique, technologique ou informatique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le géomètre du cadastre établit et met à jour les documents fonciers officiels. Il délimite les propriétés, réalise les bornages contradictoires et produit les plans servant de base aux transactions immobilières.;Bac+2 à Bac+5 (géomètre, cadastre, topographie);2 500€ → 4 500€/mois;;;Oui;;;Oui;Oui;Oui;;F1131;Emploi Blanc;
Géomètre-topographe;"Bâtiment - construction ; Industrie ; Administration";Conception technique, technologique ou informatique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le géomètre-topographe mesure le terrain et produit des plans précis pour les projets de construction, d'aménagement ou les opérations foncières. Il utilise des instruments de mesure et des logiciels SIG.;Bac+2 à Bac+5 (géomètre-topographe, ingénierie);2 500€ → 4 500€/mois;;;Oui;;;Oui;Oui;Oui;;F1107;Emploi Blanc;
Géophysicien;"Chimie - biologie - science ; Énergie ; Bâtiment - construction";Recherche et développement;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le géophysicien étudie les propriétés physiques de la Terre. Il utilise des méthodes sismiques, électriques et magnétiques pour l'exploration pétrolière, minière ou la détection de risques naturels.;Bac+5 à Doctorat (géophysique);3 500€ → 7 000€/mois;;;Oui;;;Oui;Oui;Oui;;F1143;Emploi Vert;
Géotechnicien;Bâtiment - construction;Conception technique, technologique ou informatique;;Opérationnel;;;;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le technicien spécialisé en nan assure des opérations techniques de terrain, de maintenance ou de contrôle dans son secteur d'activité.;Bac Pro à Bac+2;1 900€ → 3 200€/mois;;;;;;Oui;;Oui;Oui;F1128;Emploi Vert;
Géothermicien;"Énergie ; Bâtiment - construction ; Environnement";Conception technique, technologique ou informatique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le géothermicien conçoit et installe des systèmes de chauffage exploitant la chaleur du sous-sol. Il évalue le potentiel géothermique des sites et dimensionne les installations.;Bac+3 à Bac+5 (génie thermique, géologie);3 000€ → 5 500€/mois;;;Oui;;;Oui;Oui;Oui;;F1138;Emploi Vert;N
Gérant;"Commerce ; Hôtellerie - restauration - gastronomie ; Voyages - tourisme";Stratégie;;Directeur;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le gérant dirige une entreprise ou un établissement en son nom propre ou pour le compte d'un mandant. Il prend les décisions commerciales, gère les équipes et assume la responsabilité des résultats.;Bac à Bac+5 selon secteur;2 000€ → 6 000€/mois;;Oui;;;;;;Oui;Oui;G1805;Emploi Blanc;
Gériatre;Médical - santé - Pharmaceutique;Médical;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;Le gériatre prend en charge les pathologies liées au vieillissement. Il coordonne les soins de patients âgés fragiles dans les hôpitaux, EHPAD ou en consultation.;Doctorat médecine + internat gériatrie (Bac+11);5 000€ → 9 000€/mois;;;Oui;;;Oui;;Oui;Oui;J1116;Emploi Blanc;
Gestionnaire de copropriété;"Immobilier ; Administration";Administratif;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le gestionnaire de copropriété administre des immeubles en copropriété. Il organise les assemblées générales, suit les travaux, gère les budgets et assure les relations avec les copropriétaires.;BTS Professions immobilières à Bac+3;2 500€ → 4 500€/mois;;Oui;;;Oui;;;Oui;Oui;C1501;Emploi Blanc;
Gestionnaire de flux de production;"Industrie ; Agroalimentaire ; Automobile";Logistique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le gestionnaire de flux de production coordonne les approvisionnements et les flux physiques dans les ateliers. Il planifie la production, optimise les stocks intermédiaires et garantit la fluidité des lignes.;Bac+2 à Bac+3 (logistique, production);2 500€ → 4 000€/mois;;Oui;;;Oui;;;Oui;Oui;H1403;Emploi Blanc;
Gestionnaire de produits bancaires;Banque - finance;Finance;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le gestionnaire de produits bancaires administre et développe les offres de sa banque. Il analyse les besoins des clients, conseille sur les placements et s'assure de la conformité des opérations.;Bac+2 à Bac+3 (banque, gestion);2 500€ → 3 800€/mois;;Oui;;;Oui;;;Oui;Oui;C1204;Emploi Blanc;
Gestionnaire des opérations sur les marchés financiers;Banque - finance;Finance;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le gestionnaire des opérations de marché traite et confirme les transactions financières (actions, obligations, dérivés). Il vérifie les positions, gère les règlements et contrôle les risques opérationnels.;Bac+4 à Bac+5 (finance de marché);3 500€ → 7 000€/mois;;Oui;;;Oui;;;Oui;Oui;C1302;Emploi Blanc;
Glaciologue;"Chimie - biologie - science ; Environnement";Recherche et développement;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le glaciologue étudie les glaciers et la glace terrestre. Il analyse leur évolution pour contribuer à la compréhension du changement climatique et à la gestion des ressources en eau.;Bac+5 à Doctorat (glaciologie, sciences polaires);3 000€ → 5 500€/mois;;;Oui;;;Oui;Oui;Oui;;F1123;Emploi Vert;
Goémonier;"Nautique - metiers de la mer ; Agriculture";Production;;Opérationnel;;;;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le goémonier récolte les algues marines (goémon) sur les côtes bretonnes. Cette production est utilisée pour l'alimentation, la cosmétique et l'agriculture.;CAP Maritime à BTSA Aquaculture;1 500€ → 2 200€/mois;;;;;;Oui;Oui;Oui;;A1427;Emploi Vert;
Gouvernant;"Hôtellerie - restauration - gastronomie ; Voyages - tourisme ; Luxe";Services à la personne;;Manager - Responsable - Chef d'équipe;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le gouvernant(e) supervise la propreté et la qualité des chambres et espaces communs d'un hôtel. Il manage l'équipe des femmes de chambre, contrôle les prestations et optimise l'organisation.;CAP à BTS Hôtellerie + expérience;2 000€ → 3 500€/mois;;Oui;;;;;;Oui;Oui;G1503;Emploi Blanc;
Grutier;Bâtiment - construction;Conception technique, technologique ou informatique;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le grutier manœuvre une grue sur les chantiers de construction pour soulever et déplacer des charges lourdes. Il assure la sécurité des opérations de levage.;CACES Grue à tour + CAP ou Bac Pro;1 900€ → 3 200€/mois;;;Oui;;;Oui;Oui;Oui;;F1301;Emploi Blanc;
Guide-conférencier;"Voyages - tourisme ; Culture";Formation - coaching;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le guide-conférencier fait découvrir le patrimoine culturel, historique et naturel à des groupes de visiteurs. Il conçoit des visites commentées et adapte son discours à tous les publics.;Bac+3 + carte professionnelle guide-conférencier;1 700€ → 3 500€/mois;;Oui;;;;;;Oui;Oui;G1222;Emploi Blanc;
Guide de haute montagne;"Sport ; Voyages - tourisme";Sportif;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le guide de haute montagne encadre des courses en montagne : alpinisme, ski hors-piste, escalade. Il assure la sécurité des clients dans des environnements extrêmes.;Diplôme d'État guide de haute montagne (ENSA);2 000€ → 5 000€/mois;;Oui;;;;;;Oui;Oui;G1228;Emploi stratégique pour la Transition écologique;
Guide de tourisme équestre;"Voyages - tourisme ; Animalier ; Sport";Sportif;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le guide de tourisme équestre organise et encadre des randonnées à cheval. Il prépare les itinéraires, gère les chevaux et transmet sa connaissance du milieu naturel aux cavaliers.;BPJEPS Activités équestres + guide tourisme;1 600€ → 2 500€/mois;;Oui;;;;;;Oui;Oui;G1230;Emploi stratégique pour la Transition écologique;
Guide-accompagnateur;Voyages - tourisme;Accueil - service - suivi client;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;S;F;P;Le guide-accompagnateur encadre des groupes lors de voyages organisés. Il coordonne les visites, fait le lien avec les prestataires locaux et veille au bon déroulement du séjour.;BTS Tourisme + carte professionnelle;1 700€ → 3 000€/mois;;Oui;;;;;;Oui;Oui;G1201;Emploi stratégique pour la Transition écologique;
Guide-interprète;"Voyages - tourisme ; Commerce international";Accueil - service - suivi client;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;S;F;J;Le guide-interprète fait visiter des sites touristiques à des groupes étrangers dans leur langue maternelle. Il combine compétences linguistiques et culturelles pour enrichir l'expérience des visiteurs.;Bac+3 langues + carte guide-interprète;1 800€ → 3 500€/mois;;Oui;;;;;;Oui;Oui;G1227;Emploi stratégique pour la Transition écologique;
Gynécologue;Chimie - biologie - science;Médical;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;Le gynécologue obstétricien assure le suivi gynécologique, obstétrical et la prise en charge des pathologies de la femme. Il pratique les accouchements et les interventions chirurgicales.;Doctorat médecine + internat (Bac+11);6 000€ → 12 000€/mois;;;Oui;;;Oui;;Oui;Oui;J1111;Emploi Blanc;
Hématologue;Médical - santé - Pharmaceutique;Médical;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;L'hématologue traite les maladies du sang et des organes hématopoïétiques : leucémies, lymphomes, anémies. Il réalise des biopsies médullaires et prescrit les chimiothérapies.;Doctorat médecine + internat hématologie (Bac+11);6 000€ → 12 000€/mois;;;Oui;;;Oui;;Oui;Oui;J1117;Emploi Blanc;
Historien;"Enseignement ; Culture ; Édition et métier du livre - littérature";Recherche et développement;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'historien étudie et analyse le passé à partir de sources primaires et secondaires. Il enseigne, publie des ouvrages et contribue à la transmission et à la révision de la mémoire collective.;Bac+5 à Doctorat (histoire);2 500€ → 4 500€/mois;Oui;Oui;;;;Oui;;Oui;;K2140;Emploi Blanc;
Hydraulicien industriel;"Industrie ; Bâtiment - construction ; Énergie";Installation et/ou maintenance;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'hydraulicien industriel installe et entretient les systèmes hydrauliques de presses, engins de chantier ou machines industrielles. Il diagnostique les fuites et problèmes de pression.;BTS Maintenance des systèmes à Bac Pro;2 200€ → 3 800€/mois;;;Oui;;;Oui;Oui;Oui;;I1313;Emploi stratégique pour la Transition écologique;
Hydrologue;"Chimie - biologie - science ; Environnement ; Bâtiment - construction";Recherche et développement;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'hydrologue étudie les ressources en eau (rivières, nappes, précipitations). Il modélise les crues, évalue les ressources disponibles et conseille sur la gestion durable de l'eau.;Bac+5 à Doctorat (hydrologie, sciences de l'eau);3 000€ → 5 500€/mois;;;Oui;;;Oui;Oui;Oui;;F1124;Emploi Vert;
Infirmier;Chimie - biologie - science;Médical;;Opérationnel;;;;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;F;J;L'infirmier(e) assure les soins préventifs et curatifs auprès des patients, administre les traitements et collabore avec l'équipe médicale.;Bac+3 (Diplôme d'État infirmier);1 900€ → 2 900€/mois;Oui;Oui;;;;;;Oui;Oui;J1503;Emploi Blanc;
Ingénieur;"Industrie ; Informatique - numérique - digital ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction";Conception technique, technologique ou informatique;;Manager - Responsable - Chef d'équipe;;;;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;L'ingénieur conçoit, développe et optimise des solutions techniques dans son domaine de spécialité. Il gère des projets, coordonne des équipes et assure la veille technologique.;Bac+5 (école d'ingénieurs);3 000€ → 6 500€/mois;;Oui;Oui;;;;;Oui;;H1520;Emploi Blanc;
Inspecteur;"Armée - sécurité - défense ; Administration ; Médical - santé - Pharmaceutique";Renseignement;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'inspecteur vérifie la conformité et le respect des réglementations dans son domaine. Il mène des enquêtes, rédige des rapports et peut sanctionner les manquements constatés.;Concours selon corps + formation spécialisée;2 500€ → 5 000€/mois;Oui;Oui;;;;Oui;;Oui;;K2117;Emploi Blanc;
Installateur-poseur;"Bâtiment - construction ; Électronique ; Industrie";Installation et/ou maintenance;;Opérationnel;;;;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'installateur-poseur monte et met en service des équipements techniques (fenêtres, parquet, cuisines, sanitaires). Il lit les plans, prépare les supports et assure la finition des installations.;CAP à Bac Pro selon spécialité;1 800€ → 3 000€/mois;;;Oui;;;Oui;Oui;Oui;;F1708;Emploi stratégique pour la Transition écologique;
Instrumentiste Industriel;"Industrie ; Énergie ; Chimie - biologie - science";Installation et/ou maintenance;;Opérationnel;;;;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;L'instrumentiste industriel installe et maintient les instruments de mesure et régulation dans les usines chimiques, pétrolières ou agroalimentaires. Il assure la précision des capteurs et automates.;Bac Pro Maintenance à BTS CIRA;2 000€ → 3 500€/mois;;;Oui;;;Oui;Oui;Oui;;I1318;Emploi Blanc;
Interprète;Communication;Communication;;Opérationnel;;;;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;P;Ce professionnel de la communication conçoit et diffuse des messages pour valoriser l'image et les activités d'une organisation.;Bac+3 à Bac+5 (communication, journalisme);2 000€ → 5 000€/mois;;Oui;Oui;;;;;Oui;Oui;E1123;Emploi Blanc;
